x,y,timestamp
3.0607,9.6571,1757388712.7493827
3.2263,9.6504,1757388712.828021
3.3234,9.6348,1757388712.8885684
3.4495,9.5989,1757388712.946459
3.5677,9.5474,1757388713.0143251
3.6806,9.4798,1757388713.0820804
3.7841,9.3981,1757388713.1522026
3.8762,9.3051,1757388713.2190676
3.9593,9.2,1757388713.288014
4.0459,9.0579,1757388713.368681
4.1023,8.9352,1757388713.436283
4.1465,8.8074,1757388713.5032074
4.1796,8.677,1757388713.5724168
4.2014,8.5439,1757388713.6387358
4.2093,8.4089,1757388713.7081552
4.2062,8.2385,1757388713.791449
4.1979,8.1005,1757388713.8552916
4.1853,7.9649,1757388713.9285827
4.1632,7.7928,1757388714.0025086
4.1416,7.6582,1757388714.0744724
4.1093,7.4877,1757388714.1553586
4.0796,7.3548,1757388714.2200925
4.044,7.2216,1757388714.2895117
4.0016,7.0905,1757388714.351896
3.9531,6.9638,1757388714.418506
3.8961,6.8399,1757388714.4860802
3.8288,6.7214,1757388714.549354
3.753,6.6116,1757388714.6193395
3.569,6.4133,1757388714.7493894
3.4651,6.3294,1757388714.815634
3.3814,6.2714,1757388714.8709557
3.2641,6.2015,1757388714.9316964
3.1415,6.1398,1757388714.9963222
3.0476,6.0988,1757388715.0566878
2.9208,6.0494,1757388715.1133032
2.8238,6.0139,1757388715.1673908
2.6933,5.9674,1757388715.228172
2.5959,5.9328,1757388715.2878876
2.4657,5.8858,1757388715.3455877
2.3382,5.8373,1757388715.4140031
2.2425,5.7987,1757388715.4671857
2.1151,5.7445,1757388715.528568
2.0197,5.7052,1757388715.58637
1.8941,5.6483,1757388715.6484375
1.7735,5.5863,1757388715.7137043
1.6554,5.5161,1757388715.7808065
1.5689,5.46,1757388715.838163
1.4568,5.3811,1757388715.9001367
1.3541,5.2952,1757388715.9662216
1.2578,5.1991,1757388716.0357513
1.1701,5.0949,1757388716.1001847
1.0921,4.9854,1757388716.1684656
1.0217,4.8684,1757388716.2334864
0.9607,4.7461,1757388716.2991302
0.9067,4.6213,1757388716.371548
0.8555,4.4928,1757388716.4364922
0.8077,4.3629,1757388716.504041
0.7651,4.2341,1757388716.5698276
0.7301,4.1014,1757388716.6410618
0.699,3.9342,1757388716.7230177
0.6822,3.7973,1757388716.7885423
0.6717,3.6597,1757388716.8570886
0.6637,3.4885,1757388716.9402184
0.656,3.317,1757388717.0230012
0.6493,3.1787,1757388717.0905678
0.6425,3.0076,1757388717.1714242
0.643,2.8695,1757388717.2394328
0.6526,2.699,1757388717.323058
0.6645,2.5611,1757388717.388323
0.6817,2.3909,1757388717.4733176
0.7023,2.2545,1757388717.5380971
0.7258,2.1181,1757388717.6075332
0.7499,1.9842,1757388717.6723373
0.7846,1.8143,1757388717.7534144
0.8105,1.6804,1757388717.8222473
0.8375,1.5449,1757388717.8883238
0.8709,1.4113,1757388717.9546034
0.9108,1.2817,1757388718.0202568
